crop,disease_classes_count,test_images_count,correct_predictions,accuracy
TOMATO,10,805,65,0.0807
SOYBEAN,1,0,0,0.0
ORANGE,1,0,0,0.0
PEACH,2,0,0,0.0
SQUASH,1,0,0,0.0
APPLE,4,0,0,0.0
BLUEBERRY,1,0,0,0.0
BELL_PEPPER,2,124,44,0.3548
GRAPE,4,0,0,0.0
CORN,4,0,0,0.0
STRAWBERRY,2,0,0,0.0
POTATO,3,108,48,0.4444
CHERRY,2,0,0,0.0
RASPBERRY,1,0,0,0.0
